question,answer
kool ... with a K ?,is cold up there ????
is cold up there ????,brb .... do n't say you were n't warned ... brb
what about you ..... what is your fascination with the Russion Space Ships ?,; sunshine is always nice
what grade do you teach ?,r u a teacher 2 ?
ever date a student ?,and american literature
r u a teacher U11 ?,I still wait on ssi ssid hearin none yer
U30 your in the old country ?,"yeah , we 're headed that way in april , do some fishin and such"
Naples Florida ?,am gonna shoot this pos thing
not italy ?,old country U9 ?
did you attend that Kansas TC get together ?,"awesome U46 , whatcha doin ?"
really U52 ? so sorry,"oh sorry to hear that U52 , was just wondering , my sympathies"
U47 get lost ?,wb (((( U24 ))))
did n't ja hear me ?,sing away U20 lol
that was singing ? thought I had tuned into Martian swamp music ...,"hey U55 , good to c u"
<- defragging my disc drive .. how LONG does this take ? Been over an hour now !,U35 ... I 'm a nice guy in real life ... I wanna be a bandito in chatland ... but I gotta play nice ... :tongue:
where did that come From ?,long time U53 ... if ya do n't do it regularly
"yeah , he is sorta like that is n't he ?",worked for someone i know
U7 ... me needer ... wanna run away ?,i will in an hour
whats not to like U15 ?,lol U16 hiYas
everything ?,. ACTION licks U32 .
hey there asl please ?,i jus wanna know sumfin really important ....
hiya U32 :) how r u babe ?,"damnit , this game is pissing me off"
U32 guess who was here the other night ?,"I 'm sorry U35 , I forgot"
how many LIX DOES it take to get to the middle ????,who U23 ???
one big lick ?,"LoL U32 , I 'd never kick you outta my box"
seriously ? i didnt think he would ever come back to TC,"You remember Jess , U32 ?"
"You remember Jess , U32 ?",he came back .. lol
lmao i was too U35 .. i was like wtf r you ?,ahhh U23 ..... now i know you ... lol
wow ... are you the U39 ?,Im talkin about all yer typin . .
How cool are ya' U41 ?,19 / f / ca ... asl ??
19 / f / ca ... asl ??,why U35 ... there r plently ladies in here with pink pussies
ooer U1 .. how r you darlin ?,damn ... U41 .... that 's cool
"U16 .. I 'm ok , how are you babe ?",white shoes and all ?
white shoes and all ?,they seem so long LOL
"What are you doin , U28 ? Dang , yer so quiet .",well tell the bf to stop calling at 5 am too U1
i 'm good .... busy .. very busy but good ... you ???,"Apparently , I 'm not U41"
is this moving too fast for ya ?,just loosen up babe
any word from the doctor regarding the sores on your lip U39 ?,what do you need a battery charger for U28 ?
what do you need a battery charger for U28 ?,"looks like it might be an ok day , I 'm going to take the moped out for a ride"
is that what you call your harley ?,as soon as i 'm no longer a poor mf'er i will :)
moped U28 ?.. ohh ur a real man,i had a moped once
U15 .. mopeds r for old men and gay men right ?,. ACTION doesnt even have a myspace .
"I am cold , yes. . Why ?",big stick ? Is that a euphemism ?
big stick ? Is that a euphemism ?,U32 u cheating on me with U28 ? .. like OMG
U32 u cheating on me with U28 ? .. like OMG,". ACTION puts U35 in his "" leave alone "" book ."
"www.Wunderground.com : . Live Oak , California ( 95953 ) . .(. 39.3 ? N 121.7 ? W .).",". Observed at 53 AM PDT on October 20 , 2006 . Elev :. 59 ft / 18 m"
. Current . 57 ? F / 14 ? C . Wind . 55%,. ACTION is back .
. Advisory //www.wunderground.com/cgi-bin/findweather/getForecast?query=95953#FIR,(((((((( U16 ))))))))))
"www.Wunderground.com : . Fairbanks , Alaska ( 99701 ) . .(. 64.8 ? N 147.7 ? W .).",bc you want me Joshy
"www.Wunderground.com : . Aberdeen , South Dakota ( 57401 ) . .(. 45.5 ? N 98.5 ? W .).",". Observed at 27 AM CDT on October 20 , 2006 . Elev :. 1299 ft / 396 m"
. Current . 36 ? F / 2 ? C . Wind . 75%,maybe Bible chat would be better
. Record High . 12 ? F / - 11 ? C ( 1930 ),. Sunrise 56 AM CDT . Set 39 PM CDT . Length . 3 m 1 s shorter
or too smart ?,or too smart
your a guy too ?????,omg lol U50
are you capab;e ?,"Oh , #### yeah"
ooeer is sum1 gonna ghet fuked up ? :),im always hungry
"Yes , U53 ?",. ACTION fallz offa her chair laffin hard !!.
"You too what , U28 ? Hungry ?",most of us cris-cross
lol your done with it ?,. ACTION pounces on U23 ans wiggleZ all around .
"not quite , wanna call me a few more names ?",. ACTION touches U32 s weenis .
anyone seen sweetshybbw ??,lol U47 stand yer ground woman !!!
. ACTION sits on U28 . . You needed me ?.,"I still need to see that , U23"
You liked it ?,geeZe a U28 sammich with one limp piece of bread
whats up everybody ?????,whoopZ sowwy
is U30 any good ?????,. ACTION loves men in uniform .
Drive in ? I havent been to one of those since I was a kid,omg i cant wait til cars come out .. im gonna buy it .. aqwesome movie
who U59 Me ?,. ACTION is bored . Damn ..
but can you tell if a man is good looking or not U16 ?,. ACTION peeks in and says some hellos .
is n't everyone romantic everyday ?,. ACTION looks at the guest lists and realises there must be a back room in here .
alzheimers ?,U34 ... how is U37 ?
who has alzheimers ?,lmao U6 .... was waitin fir ya to lead me lol
"good lord U42 , how long have you known me ? lol",of course you can
really U19 ? hahahahaaa,lol U6 he said this morning he is going to stay away till this painful experience is over
what if its Tim mcgraw U13 ??,"who is albert pujols , U35"
U41 you calling me a redneck ?,. ACTION goes to the corner an plays wif himself ...... er .... by himself .
who is U12 ?,hi U49 ... ?
"U16 , who you sheesin ?",close but no not dat bad
who 's pervin and who they pervin ?,thanks U3 !
wtf is a U16 ??,will you take over the room pervin fir a minute so 's i can try ta git in trouble fir pm'n ?
will you take over the room pervin fir a minute so 's i can try ta git in trouble fir pm'n ?,"ok , U16 , Im ready , goooooo"
lmao U13 ....... ya shore ?,ok Im home sick so I baked cookies .......... anyone want a choc / chip / butterscotch chip oatmeal cookie ?
ok Im home sick so I baked cookies .......... anyone want a choc / chip / butterscotch chip oatmeal cookie ?,"ohh poorrr U41 , nobody pay attention to him"
"U53 , wher you been ?",you jus hopin fir bare handy ....... but i aint that lucky lol
good lord U50 - did ya thrown in some coconuts and a bag of jujubees too ?,"awww , U41 dont be mad ?"
"U52 , where ya been all my life for the last hour ?",whoo hooooo
why is U37 grrrrrring ?,ya dint send me that nakie pic yet U13 lol
"omg , did I say that ?",already have U13 ... lol
"i 'm on lunch , whats on the menu today ?",winks at U1
homophobic ?,HEY U86 . INTERESTING NAME
"what do you like , U86 ?",Hey everyone
Whats going on in this room ?,. ACTION sits on the couch but completly misses it and hits the floor .
heard of sevendust before ?,and has anybody actually played them ?
any girls wanna chat ? pm me,controllers *
Then what do you like U86 ?,I have no handheld games
U66 are you a girl ?,"like Silent Hill , Clock Tower and Resident Evil"
. ACTION slaps U110 around a bit with a large .A.n.a.c.?.n.?.a.,I really must check out game fly then
The whole world ? lol,I really recomend getting the free subscription if you eat cereals just get a kellogs marked box
"ask no questions , hear no lies , huh ?",snow white :)
mono ? what the heck is that,and best of luck !
What in the hell is U122 doing here ? Lol .,That happens alot
Who are you U119 ? lol,U122 adduser U74 chanowner
why 'd your boss always where red ?,"Nadda , y tu ?"
"Nadda , y tu ?",It was her barn colors
what 's up dork ?,heyy sweet girl how r u
are u a guy ?,any hot girls wanna chat w/ a college guy
"I 'm telling you bro .. you can like , get laid ? that 's awesome .","U122 , is back so ppl can ban ."
how are you ?,nah its all good
how are u U35 ?,tc other U5
wtf is wrong with being 30 ? lol,hey ! you are n't making fun of me are you ?
you want to chat U49 ?,Older ladies can move their bodies still
"you are a hottie too , but who is the chick in the pic ?",my girl ^_^
U53 has a gf ?! :p,. ACTION waves to U42 .
what you up to sassy ?,lol .... who 's U45 ?
lol .... who 's U45 ?,any ladies from va ?
any ladies from va ?,did we lose U88 ?
did we lose U88 ?,"You broke my heart when I found out you had a bf , U60"
what did I miss in the 2.3 seconds I was out ?,so what the fawk is goin on tonight
LOL why did you kick me ?,Welcome back U19
hmm ... seth ? lol,wow - actually glad I missed that one
U5 is nakey ?!?! :-o,where is everyone from ?
where is everyone from ?,i should put a new one up lol
so where is everyone from ?,tennessee here
"well ya already said ya saw me nakey , so can we be nakey together ?",Even you people that sit there and never say anything
Ooo promise U42 ?!?!,sue ...... why not ...... lol
where in ohio U19 ?,"I 'm not easy to beat up .. you just have a wicked right hook , U107"
is there any single parents in herE ?,bwahahahahahahahahahaha
U85 me too ?,she 's as innocent as I am virginal .
U64 are you male or female ? I always wondered ?,Im a single parent to .. i seem to date boys and im the mama
U85 where are you from ?,U88 - did we lose ya ?
U88 - did we lose ya ?,:-) hello all
may i talk to you U35 ?,You make a good mother ^_^
how can ya be in the innocent corner alone if we 're in the corner naked ? lol,Lets make babiess !!!
any ladies care to chat ? hit 8 or im me thanks,hmm - bored - gonna go look at profiles - anyone have one worth looking at ?
Can I just pop your ass ?,aw thanksss
1cos age loc ?,aTerry I DON WHISPre
LOL you do n't know me do you ?,<< ca n't wait for these elections to get over with ... sick of seeing them on tv
Hi U57 - where you from ?,still here U35 ?
Anyone wanna talk on the phone ?,ha ha ha very funny
"U69 , marry me ?",i apoligize
Ooo can I be the flower girl U60 ?!?!?,. ACTION kicks the hell outs the comp .
anyone in maryland ?,hiii U105 btw
how 's you U130 ?,open bar !!!
eh good how s things U105 ?,busy busy but good
hello does anyone wanna chat ?,quiet in here
". 4 U121 :. TRUTH ! if you had to kill one person , who would it be ?",riiiiight !
lol wha ? you talkin bout me ?,hello ladies
. Question :. Have you ever been skydiving ? Yes or No ?,my tounge !
whats green and silver ?,. ACTION dies .
dont cry baby .. why ??,. ACTION givs U65 cpr .
who 's your wife ?,hahahahahaha
am I not good enuf for U91 ??!?!??!,haha nope you dont
U70 why do you feel that way ?,come on then
the minute i turn my back you 're a lesbo ????,"who ate all the pies , who ate all the pies"
"the ice cream guys says , ' what flavour ??@",awww you actualy did
what happened last night ?,U69 I mean .. lol
U69 are you gonna make the bot ! hump ?,how are you feeling U69 ?
how are you feeling U69 ?,lol U69 !!!!!!!!!!
U110 are you good on your elbows like elle ?,lol U91 !!!
any females want to chat ? 25 m canada pm me,kneess ... lol
lmao im serious when did you start using elbows ?,U104 .. like a clue .. u miss'n alot of that .. lol
wtf is this talk about elbows & knees !???,i just want to be included
there is a 3 people involved here U65 .. let me help you .. U21 is standing im on my knees and U110 or elle is on elbows ???? get it,"Not to worry ladies , I have arrived ."
im standin where ?,riiiight U31
will you fuck me if i cry ?,no im just bored u whore
yeah baby ???,U91 i never had a girlfriend
where r u U30 ?,"<, thinks she d better "" perv "" profiles ..... LOL"
upstate ny ?,"how did it ever get called "" perving "" anyway ?"
"how did it ever get called "" perving "" anyway ?",ya U33 a little frustrating eh ?
i know but what 's perverted about reading profiles ?,west of Albany
U2 leave ??,i like to do quizes ok
what was his nicname U34 ?,dont see her U30
hey U0 .... no wine tonight ??? lol,well off to porn sites for release of life
(((((((((((((((((((((((( U20 ))))))))))))))))) I think you must have a bed roll in da corner ?,i think so U23
ok who sang that ?,;-) anything for u U6
robert palmer right ??? anyone ???? never mind ... hm hmm,that was that guy Marvin Gay
that hall oates guy ?,hows ya doing ?
hows ya doing ?,was it U18 ?
hall and oates ?,when somebody rang the door bell on the show the adams family lurch would say '' you ring
U7 ?????????,does that make me old
"U18 .... Maybe before your time but .... Who sang "" In The Ghetto ""? ?",ok who sang reach .... 1996 ?
in 1996 ? hmmm dont know,gloria estefan
ok easy one who sings bad day ?,what was willie nelson s nick name
hi U48 where from ?,heyyyyyyyy U70
are you ready for some football ???? guessing,I know hank and hank jr
who is who U28 ?,"its ok U66 ... I am in the "" zone "" again ..."
........... you are U48 is that a good thing or not ? LOL,i just got here too and i showered so ya ca n't leave yet ... lol
the sleep over is n't tonight ?,jeans and a pink sweater here
< perk > sleepover lol ?,but jammies sound like heaven right now :)
that tired huh U66 ?,lol U75 ... bring ur pillow
may i pm you U7 ?,gawd i need meds that would make me skin and bones LOL
what do you weigh now U70 .... 93 lbs soakin wet ?,really ???? I talked to someone else who says she gained 30 lbs while on paxil !
really ???? I talked to someone else who says she gained 30 lbs while on paxil !,Great till you busted caps on mah eyes mang
who did what to your eyes ?,. 12 (((((.. 4 U46 .. 12 )))))
are n't you supposed to wean yourself off ?,i need meds like that now U56
how are you U46 chica ?,thats what it DOES
"I am good , U3 .. how you doin tonight ?",. ACTION will never take wellbutrin again LOL .
really U35 ? Why ?,"my tummy is a bit upset , but nothing serious .. I can still eat ."
how long have you been taking it U56 ?,holy crap !
anti depressant talk ? I want in !,how mean U28
Wellbutrin ? since when is Wellbutrin used for that ?,welcome to da real world
ever hear of Zyban ?,Ummm are you taking anything else with it U56 ?
Ummm are you taking anything else with it U56 ?,yea i stopped taking paxil a week ago
you know all the things you can do with spit vinyl ?,and thought I 'd share
U102 's here ?,((((((((( U3 )))))))
what is here ?,lol i couldnt find you in the P 's
how much it cost ?,eitther the room is slow or im lagging i still see my hellos
U3 did you physically meet neysa ?,a bag full o beans
is a beanbag a racist comment ?,you fat mother #### !!!!!!!!!!!!!
was supposed to but never happend why ?,shorty like miiiiiinnnnnnnnnneeeeeeee
what the shit is lucifuge ?,where you at
do any women wanna chat ?,the worst that would happen is id get burned to the stake
U132 : Are you a man or a woman ?,that depends if neysa 's cooking it U102
What class are you gonna be on U22 ? xD,yea ... im about to watch futurama ...
whats balck and white and red all over ?,. i always liked necromancers ..
whats green and silver ?,same babay 3 monthes later !
a beach ball ??,does anybody wanna tok
what goes round and round and burns ?,i like whiskey and cigars and the occasional murder
whos kennedy ??!!,17 f tx anyone wanna talk ?
17 f tx anyone wanna talk ?,14 f mass ... pm me if you want to chat
what we talkin about ?,is there a girl who can talk to me ( 17 / F )? PM me if so .
is there a girl who can talk to me ( 17 / F )? PM me if so .,"You gonna kick me , U111 ?"
"how big are them guns , texan ??",I 'll do something much worse .
Ohio anybody ???,It did n't even go through .
any guys wanna chat ?,hey everybody wats up ?
hmm ... you like killing people ?,females pm me
who u gonna kill U119 ?,I can seeee youuuu .
wanna help ?,I can tell you my love for you will still be strong after the boys of summer have goneee .
is there any girl who can just talk to me ( 17 / F ) ? PM me please . thanks,what ` song
what is unusual about it ?,lets kill em !
any guys wanna chat wit a 16 f from australia ?,hey yall 17 f tx
u got kids ?,any 1 wanna chat
what u suck U119 ?,can i kill em ?
any little hotties wanna get dirty ?,i want your cookie
heard of nirvana ?,hello teens i 'm 26 years old
Anyone want to chat ? 20 / m / md,wanna sleep
"ohhhh damn ,,,, i have been cast aside ??",". 4 Rule 4 . Please do not type in all CAPS , it is considered yelling . ( Three warnings Max )"
somebody type perving ?,. ACTION plays with U68 like a puppet .
what is the conversion about .. ? any guide for me ?,I did to U59
. Question :. Hug or a kiss ?,so I guess I should n't use your pic as wallpaper for my laptop :) lol
U53 where are you ?,Yeah U34 haha its proper
hey people any females want to chat to a guy from down under ?,yes darling long time
o0 what we dancing to U114 ?,me and my widow ready to hit the town
. Question :. Eggs - Sunny side up or scrambled ?,. ACTION spins Lil Wyte ~ I know you Strapped .
howz every1 today ?,see ya all later
. Question :. Have you ever felt even more stressed after a massage ? Yes or No ?,it smells down there anyways
how are u doing ?,a good massage relaxes
"U105 , do you just come here to play with the bot ?",all my ex's are burried in the back yard
What part of Ark are you from U144 ?,good evening to everyone up in here
any naughty guys out there ? pm,"Jonesboro , U103"
Whereabouts in kent ?,. ACTION passes U41 some yoghurt ... get in with it .
Maidstone ! You dont happen to have family in Catterick do you ?,I have a good friend that lives there .
"Oh by the way , to my American friends , Matt Hughes Or Rush St Pierre ?",AWAY SEE LATER
heyy U34 ? lol,U156 so sweet do u need some sweet love
howz arizona ?,lick me you fool lol
wha time is it in the mainland ?,wb U168 my dear
ive been fine and you U156 ?,u can throw yourself at me U156
where are you from ms. U156 ?,i am like so good
which island are u headed to U40 ?,ok question number 3 .. How big is yr dik ? lol not really ...... ar you married
anybody here know how to play heartbreaker on the electric guitar ?,* breaks out a case up rum soaked pineapples *
it got warm ?,. ACTION kicks U89 there you go sweet heart .
U18 .. or U18 ?,t/c all laters
scusezzy U30 ?,would give 5 dollars for just 5 min inside U8 s mind
"today , U31 ?",U30 !!!!!!!!!!!!!!!!!!!!!!
yes U30 ?????,yep .. today is my payday ... and thats mothers day .. this mother gets this .. that mother gets that and all the other mothers get the rest
I am cold but good thanks .. how are you ?,i about wrecked the bike this afternoon .. was coming down the hill went to stop and hit an oil slick
U18 ...... have you had pumpkin ice cream ?,mmmmmmmmmm U18 with whipped creme ?
Ct ?? huh ??? wheres that,Connecticutt
new england usa ?,U7 .. it adds wax to ur clothes .. u think cottons breathe ?.. not with wax in them .. also they collect dirt then
U7 .. it adds wax to ur clothes .. u think cottons breathe ?.. not with wax in them .. also they collect dirt then,sneezed my head off at that new lavendar snuggles
did ya U7 ?,U18 and they are bad for your dryer vent
u drank it U31 ??,spring mountain or something
is there a time limit on the making and the spending U7 ?,U41 you just brightened up my life with your pic !
hartford so what town are we not having an affari in !??,U39 im right near Foxwoods
U7 how close are you to Indiantown Road ?,U21 very close
U39 .. are you a high roller ?,My sister and b in l live there
what is a fishercat ?,U21 .. I have seen 3 of them
U22 they are like a tazzmaniane ? devil,long as it takes to go to the store U18
dont suppose anyone here delivers ?,weasel ...... possum ..... we shoot those here
(((((((((( U34 ))))))))))) Hi honey ..... how are you ?,what can I say ;)
I 'm ok U48 ...... thank you and you ????,ok nuff religion lol
"doin good , U47 ... how are you dear ?","sounds kinky , U49"
hows things holdin up U52 ?,was bout 80 here U52
what part of MD U49 ?,"sposs tah tug on it , lol"
like u U48 ?,I grew up in OC U49
Aberdeen MD and Edgewood MD ????,it really was awesome when I was growing up . Too crowded now
you mean the price of homes U7 ?,"ahh , that splains it U52"
"blank spaces , U3 ?",lived down near the beach when i was in college .. but prolly lived at least 3 miles from the beach
"3 miles , U3 ?",sometimes thats the best way U18 .... at least you can get away from the noise
U18 were you into surf music ?',"so sad , cant even swim in the waters here"
wow U49 that would have been terrible . We were on the bay . What street were you on U49 ?,hear the salvation army band ...
are you following me ?,sw is very warm U3
"they sang some of them beach songs , U52 .. didnt they ?",down by the riverside there 's got to be a better ride than what you got planned ...
"U28 ok here , You ?",oh .. never knew that
huh .. lol ?,wisconsin ?
wisconsin ?,. ACTION yawns .
double header U29 ? hahahaha,i no so have i my keys r sticking lol
why whats at 7 am ?,whats the time there ?
but who cares U0 ?,i 've already put in 32 hrs in 3 days this week
how yer doing love ?,well i work with a bunch of f*cktards
what 's something good to eat ? haha .. I have coupons for Burger King,especially on a cold day ... that 's all you can smell
can one of you not work out how to switch off caps U54 ?,where i live its 9.53 am
"short leash , huh ?",oh glorious
"Roses ? Uh .... nooooo , not so much",dead roses .... lol
sorry ? what was that about fat asses ...,. 3 ((((( .. 6 U27 .. 3 )))))
it didnt help then did it ?,"i am thinking so , U73 lol"
U73 : How much do you think it is ? I 'll come back to that later .,LOL Why could n't you call me ??
LOL Why could n't you call me ??,"Sure , U16 ...."
whatcha listening to U11 ?,i just listen to it alot
hey any girls won chat ?,"I can type "" cat is on my keyboard "" too !"
What did my toes do ?!,any uk girls here TYPR 100
hey U72 u not from england by any chance are ya ?,18 / m pm me if u tryin to chat
... you do n't love me no more do you ? :(,18 / m pm me if u tryin to chat
there 's purple cabbage ?,n e 1 besides me need a drink
Hello U117 ?,"Yes , there is ."
why not move the tv or computor into the same room U117 ?,Because ... I 'll still only be half way here .
whos the game against ?,im latina .
"Uhhh , no ?",You 're stubborn
Someone who does n't realize it 's supposed to be Apocalypse Now ?,Who is Her ?
whats up with the holocaust names ?,any florida women here
"17 / f / FL pics , wanna chat ?",its kinda insuklting
"U98 , holocaust names look like a attempted flooder dont ya think ?",ne ladies wanna chat to an 18 / m / england uk pm me
What happen to Jason U3 ? :/,"Do what now , David ?"
any randy girls in her ????,I thought you were married ? lol
I thought you were married ? lol,what happened to the girl w/ the same birthday as me ??????
what happened to the girl w/ the same birthday as me ??????,any girl wanna chat ?
any girl wanna chat ?,Cookies 'n' Cream ice cream .
"17 / f / FL pics , wanna chat ?",hey 16 m ny bored
What is Fulton County Grand Jury?,The Fulton County Grand Jury said Friday an investigation of Atlanta's recent primary election produced `` no evidence '' that any irregularities took place .
What is Atlanta?,The Fulton County Grand Jury said Friday an investigation of Atlanta's recent primary election produced `` no evidence '' that any irregularities took place .
What is City?,"The jury further said in term-end presentments that the City Executive Committee , which had over-all charge of the election , `` deserves the praise and thanks of the City of Atlanta '' for the manner in which the election was conducted ."
What is Atlanta?,"The jury further said in term-end presentments that the City Executive Committee , which had over-all charge of the election , `` deserves the praise and thanks of the City of Atlanta '' for the manner in which the election was conducted ."
Who is Fulton Superior Court?,The September-October term jury had been charged by Fulton Superior Court Judge Durwood Pye to investigate reports of possible `` irregularities '' in the hard-fought primary which was won by Mayor-nominate Ivan Allen Jr. .
Who is Durwood Pye?,The September-October term jury had been charged by Fulton Superior Court Judge Durwood Pye to investigate reports of possible `` irregularities '' in the hard-fought primary which was won by Mayor-nominate Ivan Allen Jr. .
Who is Ivan Allen?,The September-October term jury had been charged by Fulton Superior Court Judge Durwood Pye to investigate reports of possible `` irregularities '' in the hard-fought primary which was won by Mayor-nominate Ivan Allen Jr. .
What is Georgia?,The jury said it did find that many of Georgia's registration and election laws `` are outmoded or inadequate and often ambiguous '' .
What is Fulton?,It recommended that Fulton legislators act `` to have these laws studied and revised to the end of modernizing and improving them '' .
What is Atlanta?,"The grand jury commented on a number of other topics , among them the Atlanta and Fulton County purchasing departments which it said `` are well operated and follow generally accepted practices which inure to the best interest of both governments '' ."
Who is Fulton County?,"The grand jury commented on a number of other topics , among them the Atlanta and Fulton County purchasing departments which it said `` are well operated and follow generally accepted practices which inure to the best interest of both governments '' ."
Who is Merger?,Merger proposed
What is Georgia?,Implementation of Georgia's automobile title law was also recommended by the outgoing jury .
What is State Welfare Department?,The grand jury took a swipe at the State Welfare Department's handling of federal funds granted for child welfare services in foster homes .
What is Fulton?,"`` This is one of the major items in the Fulton County general assistance program '' , the jury said , but the State Welfare Department `` has seen fit to distribute these funds through the welfare departments of all the counties in the state with the exception of Fulton County , which receives none of this money ."
What is State Welfare Department?,"`` This is one of the major items in the Fulton County general assistance program '' , the jury said , but the State Welfare Department `` has seen fit to distribute these funds through the welfare departments of all the counties in the state with the exception of Fulton County , which receives none of this money ."
Who is Fulton County?,"`` This is one of the major items in the Fulton County general assistance program '' , the jury said , but the State Welfare Department `` has seen fit to distribute these funds through the welfare departments of all the counties in the state with the exception of Fulton County , which receives none of this money ."
Who is Fulton County?,"Nevertheless , `` we feel that in the future Fulton County should receive some portion of these available funds '' , the jurors said ."
What is Fulton?,`` Failure to do this will continue to place a disproportionate burden '' on Fulton taxpayers .
What is Fulton?,"The jury also commented on the Fulton ordinary's court which has been under fire for its practices in the appointment of appraisers , guardians and administrators and the awarding of fees and compensation ."
What is Atlanta Bar Association?,"The jury said it found the court `` has incorporated into its operating procedures the recommendations '' of two previous grand juries , the Atlanta Bar Association and an interim citizens committee ."
Who is Atlanta?,"Regarding Atlanta's new multi-million-dollar airport , the jury recommended `` that when the new management takes charge Jan. 1 the airport be operated in a manner that will eliminate political influences '' ."
What is Ask?,Ask jail deputies
What is Fulton County Jail?,"Four additional deputies be employed at the Fulton County Jail and `` a doctor , medical intern or extern be employed for night and weekend duty at the jail '' ."
What is Fulton?,Fulton legislators `` work with city officials to pass enabling legislation that will permit the establishment of a fair and equitable '' pension plan for city employes .
What is Atlanta?,"The jury praised the administration and operation of the Atlanta Police Department , the Fulton Tax Commissioner's Office , the Bellwood and Alpharetta prison farms , Grady Hospital and the Fulton Health Department ."
What is Fulton Tax Commissioner?,"The jury praised the administration and operation of the Atlanta Police Department , the Fulton Tax Commissioner's Office , the Bellwood and Alpharetta prison farms , Grady Hospital and the Fulton Health Department ."
What is Bellwood?,"The jury praised the administration and operation of the Atlanta Police Department , the Fulton Tax Commissioner's Office , the Bellwood and Alpharetta prison farms , Grady Hospital and the Fulton Health Department ."
What is Alpharetta?,"The jury praised the administration and operation of the Atlanta Police Department , the Fulton Tax Commissioner's Office , the Bellwood and Alpharetta prison farms , Grady Hospital and the Fulton Health Department ."
Who is Grady Hospital?,"The jury praised the administration and operation of the Atlanta Police Department , the Fulton Tax Commissioner's Office , the Bellwood and Alpharetta prison farms , Grady Hospital and the Fulton Health Department ."
What is Fulton Health Department?,"The jury praised the administration and operation of the Atlanta Police Department , the Fulton Tax Commissioner's Office , the Bellwood and Alpharetta prison farms , Grady Hospital and the Fulton Health Department ."
Who is William B. Hartsfield?,"Mayor William B. Hartsfield filed suit for divorce from his wife , Pearl Williams Hartsfield , in Fulton Superior Court Friday ."
Who is Pearl Williams Hartsfield?,"Mayor William B. Hartsfield filed suit for divorce from his wife , Pearl Williams Hartsfield , in Fulton Superior Court Friday ."
What is Fulton?,"Mayor William B. Hartsfield filed suit for divorce from his wife , Pearl Williams Hartsfield , in Fulton Superior Court Friday ."
What is Superior Court?,"Mayor William B. Hartsfield filed suit for divorce from his wife , Pearl Williams Hartsfield , in Fulton Superior Court Friday ."
